,cross section [fb],unselected,cc,bb_tight,bb,e2e2,aZ,aa,tau,light_quark,light_quark2,isolep1,isolep2,isolep_many,isophoton1,isophoton_many,rest
H→cc,200,0,33573,353,4027,0,159,0,0,10495,10183,194,3,0,4873,92,28361
H→bb,0,0,907,81565,26469,0,100,0,0,2033,493,618,12,0,6464,84,23011
H→μμ,0,0,1,0,8,83888,816,1,206,6,8,3342,1621,20,9,0,19
H→ττ,0,0,2129,288,3592,2,326,116,39438,4164,3536,16089,874,3,4044,235,20778
H→Zγ,0,0,317,547,318,52,33420,30,14058,1567,745,1850,2722,72,30593,2635,938
H→gg,0,0,4291,2110,3210,0,51,0,0,46207,19134,174,4,0,4437,65,17202
H→γγ,0,0,1,0,12,0,82,54172,6132,26,22,2140,28,0,2934,24566,35
H→ZZ,0,0,4162,10085,6924,4,323,0,3600,21571,10149,3188,9024,454,4364,110,18071
H→WW,0,0,5429,149,2395,0,414,0,1139,20606,16358,35282,4673,4,4208,107,18142
