,cross section [fb],unselected,cc,bb_tight,bb,e2e2,aZ,aa,tau,light_quark,light_quark2,isolep1,isolep2,isolep_many,isophoton1,isophoton_many,rest
H→cc,200,0,167558,568,13302,0,986,1,29,75517,72055,731,0,0,23771,400,101475
H→bb,0,0,11982,847940,314662,0,1425,0,10,32644,9714,6754,12,0,69953,835,259290
H→μμ,0,0,0,0,7,364776,5372,92,13785,0,0,10313,5606,85,0,0,0
H→ττ,0,0,83,1047,17543,13,889,1053,457334,1510,1174,35553,2872,4,893,55,3941
H→Zγ,0,0,897,2246,1216,209,205274,389,91952,8747,2342,6500,5942,308,66701,7669,1998
H→gg,0,0,10172,10875,12756,0,441,0,0,376758,93959,855,0,0,25473,314,30182
H→γγ,0,0,0,5,57,0,103,351903,43425,2,1,8263,57,0,44,2,2
H→ZZ,0,0,15447,45991,31667,27,2048,3,31147,144310,44090,14784,43568,2152,20381,473,55107
H→WW,0,0,24433,280,10923,1,3068,2,38071,225191,145454,247459,32424,22,31503,807,65845
