,cross section [fb],unselected,cc,bb_tight,bb,e2e2,aZ,aa,tau,light_quark,light_quark2,isolep1,isolep2,isolep_many,isophoton1,isophoton_many,rest
H→cc,200,0,37686,121,2951,0,240,1,7,17158,16187,177,0,0,5344,94,22710
H→bb,0,0,1185,85756,31929,0,156,0,1,3303,953,692,4,0,7259,88,26197
H→μμ,0,0,0,0,2,91194,1286,26,3413,0,0,2600,1378,20,0,0,0
H→ττ,0,0,15,216,3594,3,189,221,92512,321,242,7230,585,1,190,18,815
H→Zγ,0,0,229,557,307,60,50265,95,22954,2247,591,1580,1452,77,17066,1992,523
H→gg,0,0,1903,2074,2437,0,86,0,0,72119,17967,169,0,0,4980,75,5773
H→γγ,0,0,0,1,17,0,28,87218,10720,0,0,2049,13,0,14,1,1
H→ZZ,0,0,3485,10280,7215,5,482,1,7016,32814,9975,3337,9768,502,4680,111,12612
H→WW,0,0,3650,39,1605,0,480,0,5523,33207,21166,36416,4688,3,4594,115,9684
